'Rigidity.tent_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.two_eta_le_of_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.cPhi_eq_half_of_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.cellRate_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.cellRate_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.cellMass_toReal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.cellRate_mem_Icc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.cellRate_mul_cellMass' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.refines_trivialPartition' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.sum_measure_inter_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.cellRate_trivial_eq_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.cellRate_trivial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.barPhi_trivial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.min_self_one_sub_mem_Icc_zero_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.phi_eq_phi_min_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.concave_on_Icc_zero_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.sum_cellMass_eq_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.bracket_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.bracket_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.epsilonStar_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.epsilonStar_le_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.barPhi_tent_eq_two_epsilonStar' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.tent_epsilonStar_eq_two_epsilonStar' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.mem_refining_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.refining_pairwiseDisjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.biUnion_refining_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.barPhi_eq_filter_nonempty' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.sum_cellMass_refining_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.sum_measure_refining_inter_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.cellRate_mul_cellMass_refining_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.theorem2_forward' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.cellRate_trivial_boolIndicator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.barPhi_trivial_boolIndicator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.epsilonStar_trivial_boolIndicator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.theorem2_reverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.theorem2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.two_query_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.phiVar_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.barPhi_phiVar_eq_two_pDisagree' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.variance_bracket' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.barPhi_refinement_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.theorem1_easy' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.theorem1_hard' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.theorem1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.Simplex.R_vertex_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.Simplex.R_center' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.Simplex.R_center_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.Simplex.center_mem_simplex' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.Simplex.vertex_mem_simplex' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.Simplex.cellRateSimplex_trivial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.Simplex.epsilonStarSimplex_trivial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.Simplex.barPhiSimplex_trivial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.Simplex.sum_measure_fiber_inter' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.Simplex.cellRateSimplex_mem_simplex' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.Simplex.affine_of_jensen_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.Simplex.phi_eq_lam_R_of_step1_affine' depends on axioms: [propext, Classical.choice, Quot.sound]
'Rigidity.Simplex.simplex_rigidity' depends on axioms: [propext, Classical.choice, Quot.sound]
